Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Age,Regions,Value
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Kyzylorda,27.265711050092307
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Kyzylorda,10.65721909371558
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Kyzylorda,14.58439986968865
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Kyzylorda,10.719853865127751
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Kyzylorda,16.523556879353407
2015,Percent,Development of computer programs using a special software language,Age 15 years and older,Kyzylorda,3.82091497184344
2015,Percent,Copying or transferring a file or folder,Age 15 years and older,Mangistau,16.21092187405297
2015,Percent,Using the copy and paste tools for information or part of information to get copies or move information in a document,Age 15 years and older,Mangistau,11.340323655979152
2015,Percent,Skill: ICT Skill: Sending e-mails with attached files,Age 15 years and older,Mangistau,54.71434632401964
2015,Percent,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Age 15 years and older,Mangistau,31.9335717316201
2015,Percent,"Connecting and installing new devices (printer, modem, and others)",Age 15 years and older,Mangistau,7.135220316382811
2015,Percent,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Age 15 years and older,Mangistau,23.354142675313653
2015,Percent,Skill: ICT Skill: Creating electronic presentations with presentation software,Age 15 years and older,Mangistau,14.64040244863325
2015,Percent,Transferring files between computers and other devices,Age 15 years and older,Mangistau,11.954663919025396
