Year,UNIT_MEASURE,SERIES,Regions,Value
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,,987.3
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Akmola,73.5
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Aktobe,49.5
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty,123.2
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Atyrau,49.0
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Batys Kazakhstan,26.3
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Zhambyl,41.7
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Karagandy,83.6
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kostanay,66.4
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Kyzylorda,33.9
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Mangistau,31.4
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Ontustik Kazakhstan,71.5
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Pavlodar,48.6
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Soltustik Kazakhstan,51.5
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Shygys Kazakhstan,77.7
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Nur-Sultan city,50.0
2017,thousands,от 2 Мбит/сек до менее 10 Мбит/сек,Almaty city,109.5
2017,thousands,выше 10 Мбит/сек,Akmola,26.6
2017,thousands,выше 10 Мбит/сек,Aktobe,28.4
2017,thousands,выше 10 Мбит/сек,Almaty,32.1
2017,thousands,выше 10 Мбит/сек,Atyrau,22.7
2017,thousands,выше 10 Мбит/сек,Batys Kazakhstan,16.0
2017,thousands,выше 10 Мбит/сек,Zhambyl,15.5
2017,thousands,выше 10 Мбит/сек,Karagandy,75.0
2017,thousands,выше 10 Мбит/сек,Kostanay,36.6
2017,thousands,выше 10 Мбит/сек,Kyzylorda,11.8
