Year,Жасы,Аймақ,Өңірлер,Value
2011,,қала,Алматы қаласы,16.570703178129392
2011,,ауыл,,33.39098229810347
2011,,ауыл,Ақмола,32.69807487665667
2011,,ауыл,Ақтөбе,27.150942044559063
2011,,ауыл,Алматы,34.364939152893484
2011,,ауыл,Атырау,44.08417521862397
2011,,ауыл,Батыс Қазақстан,26.123647037240872
2011,,ауыл,Жамбыл,47.95622787254587
2011,,ауыл,Қарағанды,28.119925541605607
2011,,ауыл,Қостанай,30.601359383096103
2011,,ауыл,Қызылорда,21.732522796352587
2011,,ауыл,Маңғыстау,54.51284070525441
2011,,ауыл,Оңтүстік Қазақстан,32.1462775341499
2011,,ауыл,Павлодар,32.80687170961485
2011,,ауыл,Солтүстік Қазақстан,32.76550030693677
2011,,ауыл,Шығыс Қазақстан,24.963055587131976
2012,10 жастан 14 жасқа дейін,,,0.0301062396067062
2012,10 жастан 14 жасқа дейін,,Ақмола,0.0
2012,10 жастан 14 жасқа дейін,,Ақтөбе,0.040395063723213
2012,10 жастан 14 жасқа дейін,,Алматы,0.029852751304192
2012,10 жастан 14 жасқа дейін,,Атырау,0.1459427904261529
2012,10 жастан 14 жасқа дейін,,Батыс Қазақстан,0.0527648796960742
2012,10 жастан 14 жасқа дейін,,Жамбыл,0.0
2012,10 жастан 14 жасқа дейін,,Қарағанды,0.0247582971243237
2012,10 жастан 14 жасқа дейін,,Қостанай,0.0398747931495105
2012,10 жастан 14 жасқа дейін,,Қызылорда,0.0338615738859542
2012,10 жастан 14 жасқа дейін,,Маңғыстау,0.0451029474776176
2012,10 жастан 14 жасқа дейін,,Оңтүстік Қазақстан,0.0082942122986579
2012,10 жастан 14 жасқа дейін,,Павлодар,0.0964436407474382
2012,10 жастан 14 жасқа дейін,,Солтүстік Қазақстан,0.0
2012,10 жастан 14 жасқа дейін,,Шығыс Қазақстан,0.0780365991650084
2012,10 жастан 14 жасқа дейін,,Нұр-Сұлтан қаласы,0.0
2012,10 жастан 14 жасқа дейін,,Алматы қаласы,0.0
2012,10 жастан 14 жасқа дейін,қала,,0.0375809164106466
2012,10 жастан 14 жасқа дейін,қала,Ақмола,0.0
2012,10 жастан 14 жасқа дейін,қала,Ақтөбе,0.0737055463423622
2012,10 жастан 14 жасқа дейін,қала,Алматы,0.0
2012,10 жастан 14 жасқа дейін,қала,Атырау,0.2160060481693487
2012,10 жастан 14 жасқа дейін,қала,Батыс Қазақстан,0.1310015065173249
2012,10 жастан 14 жасқа дейін,қала,Жамбыл,0.0
2012,10 жастан 14 жасқа дейін,қала,Қарағанды,0.0339379952826186
2012,10 жастан 14 жасқа дейін,қала,Қостанай,0.0
2012,10 жастан 14 жасқа дейін,қала,Қызылорда,0.0896418806866568
2012,10 жастан 14 жасқа дейін,қала,Маңғыстау,0.0
2012,10 жастан 14 жасқа дейін,қала,Оңтүстік Қазақстан,0.0239091452480573
2012,10 жастан 14 жасқа дейін,қала,Павлодар,0.0759647523549073
2012,10 жастан 14 жасқа дейін,қала,Солтүстік Қазақстан,0.0
2012,10 жастан 14 жасқа дейін,қала,Шығыс Қазақстан,0.1039392994491217
2012,10 жастан 14 жасқа дейін,қала,Нұр-Сұлтан қаласы,0.0
2012,10 жастан 14 жасқа дейін,қала,Алматы қаласы,0.0
2012,10 жастан 14 жасқа дейін,ауыл,,0.0234447348986601
2012,10 жастан 14 жасқа дейін,ауыл,Ақмола,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Ақтөбе,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Алматы,0.0381228317639434
2012,10 жастан 14 жасқа дейін,ауыл,Атырау,0.088519075860848
2012,10 жастан 14 жасқа дейін,ауыл,Батыс Қазақстан,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Жамбыл,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Қарағанды,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Қостанай,0.0694806322737536
2012,10 жастан 14 жасқа дейін,ауыл,Қызылорда,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Маңғыстау,0.0856274350301836
2012,10 жастан 14 жасқа дейін,ауыл,Оңтүстік Қазақстан,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Павлодар,0.1320393477256222
2012,10 жастан 14 жасқа дейін,ауыл,Солтүстік Қазақстан,0.0
2012,10 жастан 14 жасқа дейін,ауыл,Шығыс Қазақстан,0.0520792646407832
2012,15-19,,,33.820040047206206
