Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2013,пайыз,Қызылорда,,әйелдер,9.8
2013,пайыз,Маңғыстау,,әйелдер,9.3
2013,пайыз,Оңтүстік Қазақстан,,әйелдер,5.1
2013,пайыз,Павлодар,,әйелдер,2.5
2013,пайыз,Солтүстік Қазақстан,,әйелдер,6.3
2013,пайыз,Шығыс Қазақстан,,әйелдер,8.1
2013,пайыз,Нұр-Сұлтан қаласы,,әйелдер,21.1
2013,пайыз,Алматы қаласы,,әйелдер,3.0
2013,пайыз,,қала,,5.8
2013,пайыз,Ақмола,қала,,5.0
2013,пайыз,Ақтөбе,қала,,1.7
2013,пайыз,Алматы,қала,,5.8
2013,пайыз,Атырау,қала,,5.6
2013,пайыз,Батыс Қазақстан,қала,,2.6
2013,пайыз,Жамбыл,қала,,4.3
2013,пайыз,Қарағанды,қала,,5.5
2013,пайыз,Қостанай,қала,,6.6
2013,пайыз,Қызылорда,қала,,9.5
2013,пайыз,Маңғыстау,қала,,7.2
2013,пайыз,Оңтүстік Қазақстан,қала,,5.6
2013,пайыз,Павлодар,қала,,1.6
2013,пайыз,Солтүстік Қазақстан,қала,,4.5
2013,пайыз,Шығыс Қазақстан,қала,,4.3
2013,пайыз,Нұр-Сұлтан қаласы,қала,,19.3
2013,пайыз,Алматы қаласы,қала,,3.2
2013,пайыз,,ауыл,,5.7
2013,пайыз,Ақмола,ауыл,,5.1
2013,пайыз,Ақтөбе,ауыл,,2.3
2013,пайыз,Алматы,ауыл,,8.5
2013,пайыз,Атырау,ауыл,,3.2
2013,пайыз,Батыс Қазақстан,ауыл,,3.7
2013,пайыз,Жамбыл,ауыл,,5.2
2013,пайыз,Қарағанды,ауыл,,4.8
2013,пайыз,Қостанай,ауыл,,3.8
2013,пайыз,Қызылорда,ауыл,,10.1
2013,пайыз,Маңғыстау,ауыл,,9.5
2013,пайыз,Оңтүстік Қазақстан,ауыл,,1.9
2013,пайыз,Павлодар,ауыл,,2.1
2013,пайыз,Солтүстік Қазақстан,ауыл,,7.6
2013,пайыз,Түркістан,ауыл,,11.5
2014,пайыз,,,,7.0
2014,пайыз,Ақмола,,,4.5
2014,пайыз,Ақтөбе,,,6.8
2014,пайыз,Алматы,,,7.6
2014,пайыз,Атырау,,,4.7
2014,пайыз,Батыс Қазақстан,,,3.1
2014,пайыз,Жамбыл,,,9.6
2014,пайыз,Қарағанды,,,10.5
2014,пайыз,Қостанай,,,4.5
2014,пайыз,Қызылорда,,,12.4
2014,пайыз,Маңғыстау,,,14.5
2014,пайыз,Оңтүстік Қазақстан,,,6.8
2014,пайыз,Павлодар,,,3.4
2014,пайыз,Солтүстік Қазақстан,,,6.6
2014,пайыз,Шығыс Қазақстан,,,5.7
2014,пайыз,Нұр-Сұлтан қаласы,,,6.5
2014,пайыз,Алматы қаласы,,,4.8
2014,пайыз,,,ерлер,5.0
2014,пайыз,Ақмола,,ерлер,3.3
2014,пайыз,Ақтөбе,,ерлер,3.7
2014,пайыз,Алматы,,ерлер,5.4
2014,пайыз,Атырау,,ерлер,2.2
2014,пайыз,Батыс Қазақстан,,ерлер,2.8
2014,пайыз,Жамбыл,,ерлер,5.4
2014,пайыз,Қарағанды,,ерлер,5.3
2014,пайыз,Қостанай,,ерлер,4.6
2014,пайыз,Қызылорда,,ерлер,9.1
2014,пайыз,Маңғыстау,,ерлер,13.8
2014,пайыз,Оңтүстік Қазақстан,,ерлер,5.3
2014,пайыз,Павлодар,,ерлер,2.2
2014,пайыз,Солтүстік Қазақстан,,ерлер,4.6
2014,пайыз,Шығыс Қазақстан,,ерлер,3.4
2014,пайыз,Нұр-Сұлтан қаласы,,ерлер,4.7
2014,пайыз,Алматы қаласы,,ерлер,3.9
2014,пайыз,,,әйелдер,9.0
