Year,UNIT_MEASURE,SERIES,Өңірлер,Value
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,231233479.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,247607366.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,277293045.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,327228907.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,298572009.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,293445593.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,338783270.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Маңғыстау,415888024.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,157757047.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,158968661.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,163946146.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,278992468.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,280635168.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,281788151.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,203715656.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Оңтүстік Қазақстан,277749978.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,138498740.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,144249501.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,167224275.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,173458876.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,221224498.0
2015,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,243058911.0
2016,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,256076420.0
2017,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,355596349.0
2018,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Павлодар,294764641.0
2010,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,33326255.0
2011,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,48817284.0
2012,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,68713195.0
2013,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,77874967.0
2014,мың теңге,жеке меншік кәсіпорындар мен ұйымдар бойынша,Солтүстік Қазақстан,93300654.0
