Year,UNIT_MEASURE,Аймақ,Өңірлер,Value
2017,пайыз,,Ақмола,3.2923003508275817
2017,пайыз,,Ақтөбе,5.770211096262919
2017,пайыз,,Алматы,1.8686058505893537
2017,пайыз,,Атырау,1.7788225301059046
2017,пайыз,,Батыс Қазақстан,5.312727190346637
2017,пайыз,,Жамбыл,1.5284358238126348
2017,пайыз,,Қарағанды,4.077720913926477
2017,пайыз,,Қостанай,12.250728814544727
2017,пайыз,,Қызылорда,0.1900560260902442
2017,пайыз,,Маңғыстау,0.0160437166971335
2017,пайыз,,Түркістан,1.0315058376864912
2017,пайыз,,Павлодар,0.1643770895740303
2017,пайыз,,Солтүстік Қазақстан,2.6601191328187794
2017,пайыз,,Шығыс Қазақстан,4.877011310126623
2017,пайыз,қала,,2.9176441992951263
2017,пайыз,қала,Ақмола,0.0122308317685063
2017,пайыз,қала,Ақтөбе,7.961108182510397
2017,пайыз,қала,Алматы,0.0423251405373504
2017,пайыз,қала,Атырау,0.8817158227998763
2017,пайыз,қала,Батыс Қазақстан,8.191247998664512
2017,пайыз,қала,Жамбыл,0.4676534388158734
2017,пайыз,қала,Қарағанды,4.285329069636038
2017,пайыз,қала,Қостанай,17.025657191549726
2017,пайыз,қала,Қызылорда,0.1885339493879285
2017,пайыз,қала,Маңғыстау,0.0
2017,пайыз,қала,Түркістан,0.7015189338046356
2017,пайыз,қала,Павлодар,0.0040124743368828
2017,пайыз,қала,Солтүстік Қазақстан,5.048589713202181
2017,пайыз,қала,Шығыс Қазақстан,6.980921170703307
2017,пайыз,ауыл,,2.168463565624306
2017,пайыз,ауыл,Ақмола,6.460332571277682
2017,пайыз,ауыл,Ақтөбе,0.975264582820576
2017,пайыз,ауыл,Алматы,2.465451052857673
2017,пайыз,ауыл,Атырау,2.74543197463861
2017,пайыз,ауыл,Батыс Қазақстан,1.8947909017600923
2017,пайыз,ауыл,Жамбыл,2.329514246894784
2017,пайыз,ауыл,Қарағанды,3.1440116340507327
2017,пайыз,ауыл,Қостанай,6.122139334934884
2017,пайыз,ауыл,Қызылорда,0.1913405377636981
2017,пайыз,ауыл,Маңғыстау,0.0281618023553507
2017,пайыз,ауыл,Түркістан,1.3353115727002969
2017,пайыз,ауыл,Павлодар,0.6112826374609407
2017,пайыз,ауыл,Солтүстік Қазақстан,0.4277309384945064
2017,пайыз,ауыл,Шығыс Қазақстан,1.129579478299389
2018,пайыз,,,2.6117563333170843
2018,пайыз,,Ақмола,2.880673778696223
2018,пайыз,,Ақтөбе,5.739705736506525
2018,пайыз,,Алматы,2.078971302017338
2018,пайыз,,Атырау,1.756446284825564
2018,пайыз,,Батыс Қазақстан,6.189964024774691
2018,пайыз,,Жамбыл,1.3160701775634946
2018,пайыз,,Қарағанды,4.120433229490408
2018,пайыз,,Қостанай,12.037603403088474
2018,пайыз,,Қызылорда,0.1886841687960544
2018,пайыз,,Маңғыстау,0.0119399563475195
2018,пайыз,,Түркістан,2.685202629674067
2018,пайыз,,Павлодар,0.3156884702466956
2018,пайыз,,Солтүстік Қазақстан,1.1010616684828844
2018,пайыз,,Шығыс Қазақстан,4.927390061902988
2018,пайыз,қала,,3.055752666361349
2018,пайыз,қала,Ақмола,5.404385758075925
2018,пайыз,қала,Ақтөбе,7.52041112170982
2018,пайыз,қала,Алматы,0.1882567181809233
2018,пайыз,қала,Атырау,0.8430577194743608
2018,пайыз,қала,Батыс Қазақстан,9.706100364599598
2018,пайыз,қала,Жамбыл,0.0749083019062871
2018,пайыз,қала,Қарағанды,4.317929626570213
2018,пайыз,қала,Қостанай,16.576350745259948
2018,пайыз,қала,Қызылорда,0.1873136756571368
2018,пайыз,қала,Маңғыстау,0.0
2018,пайыз,қала,Түркістан,0.8748788629266717
2018,пайыз,қала,Павлодар,0.0081894492595372
2018,пайыз,қала,Солтүстік Қазақстан,5.4028024322997314
2018,пайыз,қала,Шығыс Қазақстан,6.894923191782991
