Year,UNIT_MEASURE,Жынысы,Аймақ,Өңірлер,Value
2011,1000 туылғанға,әйелдер,,Ақтөбе,11.58
2011,1000 туылғанға,әйелдер,,Алматы,12.76
2011,1000 туылғанға,әйелдер,,Атырау,16.83
2011,1000 туылғанға,әйелдер,,Батыс Қазақстан,13.93
2011,1000 туылғанға,әйелдер,,Жамбыл,17.36
2011,1000 туылғанға,әйелдер,,Қарағанды,10.91
2011,1000 туылғанға,әйелдер,,Қостанай,13.71
2011,1000 туылғанға,әйелдер,,Қызылорда,20.24
2011,1000 туылғанға,әйелдер,,Маңғыстау,18.75
2011,1000 туылғанға,әйелдер,,Оңтүстік Қазақстан,18.67
2011,1000 туылғанға,әйелдер,,Павлодар,14.67
2011,1000 туылғанға,әйелдер,,Солтүстік Қазақстан,11.5
2011,1000 туылғанға,әйелдер,,Шығыс Қазақстан,17.73
2011,1000 туылғанға,әйелдер,,Нұр-Сұлтан қаласы,12.51
2011,1000 туылғанға,әйелдер,,Алматы қаласы,17.27
2011,1000 туылғанға,әйелдер,қала,,15.41
2011,1000 туылғанға,әйелдер,қала,Ақмола,16.82
2011,1000 туылғанға,әйелдер,қала,Ақтөбе,9.95
2011,1000 туылғанға,әйелдер,қала,Алматы,13.15
2011,1000 туылғанға,әйелдер,қала,Атырау,14.26
2011,1000 туылғанға,әйелдер,қала,Батыс Қазақстан,12.99
2011,1000 туылғанға,әйелдер,қала,Жамбыл,18.19
2011,1000 туылғанға,әйелдер,қала,Қарағанды,9.61
2011,1000 туылғанға,әйелдер,қала,Қостанай,12.58
2011,1000 туылғанға,әйелдер,қала,Қызылорда,20.36
2011,1000 туылғанға,әйелдер,қала,Маңғыстау,17.48
2011,1000 туылғанға,әйелдер,қала,Оңтүстік Қазақстан,21.35
2011,1000 туылғанға,әйелдер,қала,Павлодар,11.56
2011,1000 туылғанға,әйелдер,қала,Солтүстік Қазақстан,9.39
2011,1000 туылғанға,әйелдер,қала,Шығыс Қазақстан,16.68
2011,1000 туылғанға,әйелдер,қала,Нұр-Сұлтан қаласы,12.51
2011,1000 туылғанға,әйелдер,қала,Алматы қаласы,17.27
2011,1000 туылғанға,әйелдер,ауыл,,16.28
2011,1000 туылғанға,әйелдер,ауыл,Ақмола,14.1
2011,1000 туылғанға,әйелдер,ауыл,Ақтөбе,14.33
2011,1000 туылғанға,әйелдер,ауыл,Алматы,12.63
2011,1000 туылғанға,әйелдер,ауыл,Атырау,19.51
2011,1000 туылғанға,әйелдер,ауыл,Батыс Қазақстан,15.02
2011,1000 туылғанға,әйелдер,ауыл,Жамбыл,16.84
2011,1000 туылғанға,әйелдер,ауыл,Қарағанды,15.7
2011,1000 туылғанға,әйелдер,ауыл,Қостанай,14.95
2011,1000 туылғанға,әйелдер,ауыл,Қызылорда,20.13
2011,1000 туылғанға,әйелдер,ауыл,Маңғыстау,20.04
2011,1000 туылғанға,әйелдер,ауыл,Оңтүстік Қазақстан,16.94
2011,1000 туылғанға,әйелдер,ауыл,Павлодар,21.14
2011,1000 туылғанға,әйелдер,ауыл,Солтүстік Қазақстан,13.12
2011,1000 туылғанға,әйелдер,ауыл,Шығыс Қазақстан,19.19
2012,1000 туылғанға,ұлдар және қыздар,,,16.36
2012,1000 туылғанға,ұлдар және қыздар,,Ақмола,13.84
2012,1000 туылғанға,ұлдар және қыздар,,Ақтөбе,16.3
2012,1000 туылғанға,ұлдар және қыздар,,Алматы,14.55
2012,1000 туылғанға,ұлдар және қыздар,,Атырау,19.12
2012,1000 туылғанға,ұлдар және қыздар,,Батыс Қазақстан,11.99
2012,1000 туылғанға,ұлдар және қыздар,,Жамбыл,17.06
2012,1000 туылғанға,ұлдар және қыздар,,Қарағанды,14.53
2012,1000 туылғанға,ұлдар және қыздар,,Қостанай,17.01
2012,1000 туылғанға,ұлдар және қыздар,,Қызылорда,24.28
2012,1000 туылғанға,ұлдар және қыздар,,Маңғыстау,15.98
2012,1000 туылғанға,ұлдар және қыздар,,Оңтүстік Қазақстан,18.49
2012,1000 туылғанға,ұлдар және қыздар,,Павлодар,10.88
2012,1000 туылғанға,ұлдар және қыздар,,Солтүстік Қазақстан,13.07
2012,1000 туылғанға,ұлдар және қыздар,,Шығыс Қазақстан,18.3
2012,1000 туылғанға,ұлдар және қыздар,,Нұр-Сұлтан қаласы,13.26
2012,1000 туылғанға,ұлдар және қыздар,,Алматы қаласы,14.08
2012,1000 туылғанға,ұлдар және қыздар,қала,,15.74
2012,1000 туылғанға,ұлдар және қыздар,қала,Ақмола,15.66
2012,1000 туылғанға,ұлдар және қыздар,қала,Ақтөбе,17.55
2012,1000 туылғанға,ұлдар және қыздар,қала,Алматы,13.93
2012,1000 туылғанға,ұлдар және қыздар,қала,Атырау,19.69
2012,1000 туылғанға,ұлдар және қыздар,қала,Батыс Қазақстан,8.9
2012,1000 туылғанға,ұлдар және қыздар,қала,Жамбыл,15.61
2012,1000 туылғанға,ұлдар және қыздар,қала,Қарағанды,14.4
2012,1000 туылғанға,ұлдар және қыздар,қала,Қостанай,15.36
2012,1000 туылғанға,ұлдар және қыздар,қала,Қызылорда,21.36
2012,1000 туылғанға,ұлдар және қыздар,қала,Маңғыстау,14.89
2012,1000 туылғанға,ұлдар және қыздар,қала,Оңтүстік Қазақстан,19.46
2012,1000 туылғанға,ұлдар және қыздар,қала,Павлодар,10.1
2012,1000 туылғанға,ұлдар және қыздар,қала,Солтүстік Қазақстан,13.02
2012,1000 туылғанға,ұлдар және қыздар,қала,Шығыс Қазақстан,18.12
2012,1000 туылғанға,ұлдар және қыздар,қала,Нұр-Сұлтан қаласы,13.26
2012,1000 туылғанға,ұлдар және қыздар,қала,Алматы қаласы,14.08
2012,1000 туылғанға,ұлдар және қыздар,ауыл,,17.1
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Ақмола,11.89
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Ақтөбе,14.03
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Алматы,14.75
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Атырау,18.51
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Батыс Қазақстан,15.8
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Жамбыл,18.05
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Қарағанды,14.98
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Қостанай,19.04
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Қызылорда,26.8
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Маңғыстау,16.96
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Оңтүстік Қазақстан,17.85
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Павлодар,12.58
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Солтүстік Қазақстан,13.11
2012,1000 туылғанға,ұлдар және қыздар,ауыл,Шығыс Қазақстан,18.59
2012,1000 туылғанға,ерлер,,,18.2
2012,1000 туылғанға,ерлер,,Ақмола,15.0
2012,1000 туылғанға,ерлер,,Ақтөбе,16.81
2012,1000 туылғанға,ерлер,,Алматы,17.49
2012,1000 туылғанға,ерлер,,Атырау,19.82
2012,1000 туылғанға,ерлер,,Батыс Қазақстан,15.23
2012,1000 туылғанға,ерлер,,Жамбыл,19.62
2012,1000 туылғанға,ерлер,,Қарағанды,16.17
2012,1000 туылғанға,ерлер,,Қостанай,20.03
2012,1000 туылғанға,ерлер,,Қызылорда,27.42
2012,1000 туылғанға,ерлер,,Маңғыстау,16.98
2012,1000 туылғанға,ерлер,,Оңтүстік Қазақстан,20.19
2012,1000 туылғанға,ерлер,,Павлодар,12.09
2012,1000 туылғанға,ерлер,,Солтүстік Қазақстан,14.57
2012,1000 туылғанға,ерлер,,Шығыс Қазақстан,19.99
2012,1000 туылғанға,ерлер,,Нұр-Сұлтан қаласы,14.33
2012,1000 туылғанға,ерлер,,Алматы қаласы,15.08
2012,1000 туылғанға,ерлер,қала,,17.37
2012,1000 туылғанға,ерлер,қала,Ақмола,17.75
2012,1000 туылғанға,ерлер,қала,Ақтөбе,18.32
2012,1000 туылғанға,ерлер,қала,Алматы,15.99
2012,1000 туылғанға,ерлер,қала,Атырау,21.13
2012,1000 туылғанға,ерлер,қала,Батыс Қазақстан,11.84
2012,1000 туылғанға,ерлер,қала,Жамбыл,16.51
2012,1000 туылғанға,ерлер,қала,Қарағанды,16.37
2012,1000 туылғанға,ерлер,қала,Қостанай,18.16
2012,1000 туылғанға,ерлер,қала,Қызылорда,24.73
2012,1000 туылғанға,ерлер,қала,Маңғыстау,14.81
2012,1000 туылғанға,ерлер,қала,Оңтүстік Қазақстан,21.88
2012,1000 туылғанға,ерлер,қала,Павлодар,11.7
2012,1000 туылғанға,ерлер,қала,Солтүстік Қазақстан,12.65
2012,1000 туылғанға,ерлер,қала,Шығыс Қазақстан,19.47
2012,1000 туылғанға,ерлер,қала,Нұр-Сұлтан қаласы,14.33
2012,1000 туылғанға,ерлер,қала,Алматы қаласы,15.08
2012,1000 туылғанға,ерлер,ауыл,,19.18
2012,1000 туылғанға,ерлер,ауыл,Ақмола,12.1
2012,1000 туылғанға,ерлер,ауыл,Ақтөбе,14.06
2012,1000 туылғанға,ерлер,ауыл,Алматы,17.99
2012,1000 туылғанға,ерлер,ауыл,Атырау,18.42
2012,1000 туылғанға,ерлер,ауыл,Батыс Қазақстан,19.38
2012,1000 туылғанға,ерлер,ауыл,Жамбыл,21.7
2012,1000 туылғанға,ерлер,ауыл,Қарағанды,15.46
2012,1000 туылғанға,ерлер,ауыл,Қостанай,22.29
2012,1000 туылғанға,ерлер,ауыл,Қызылорда,29.71
2012,1000 туылғанға,ерлер,ауыл,Маңғыстау,18.94
2012,1000 туылғанға,ерлер,ауыл,Оңтүстік Қазақстан,19.07
2012,1000 туылғанға,ерлер,ауыл,Павлодар,12.91
2012,1000 туылғанға,ерлер,ауыл,Солтүстік Қазақстан,16.2
2012,1000 туылғанға,ерлер,ауыл,Шығыс Қазақстан,20.82
2012,1000 туылғанға,әйелдер,,,14.42
2012,1000 туылғанға,әйелдер,,Ақмола,12.65
2012,1000 туылғанға,әйелдер,,Ақтөбе,15.74
2012,1000 туылғанға,әйелдер,,Алматы,11.51
2012,1000 туылғанға,әйелдер,,Атырау,18.38
2012,1000 туылғанға,әйелдер,,Батыс Қазақстан,8.51
2012,1000 туылғанға,әйелдер,,Жамбыл,14.4
2012,1000 туылғанға,әйелдер,,Қарағанды,12.78
2012,1000 туылғанға,әйелдер,,Қостанай,13.91
2012,1000 туылғанға,әйелдер,,Қызылорда,20.87
