Year,UNIT_MEASURE,SERIES,Регионы,Value
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,49.8
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,37.5
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,65.2
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,44.6
2014,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,165.8
2014,тыс.единиц,выше 10 Мбит/сек,Акмолинская,16.8
2014,тыс.единиц,выше 10 Мбит/сек,Актюбинская,16.7
2014,тыс.единиц,выше 10 Мбит/сек,Алматинская,22.5
2014,тыс.единиц,выше 10 Мбит/сек,Атырауская,18.3
2014,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,12.2
2014,тыс.единиц,выше 10 Мбит/сек,Жымбылская,12.4
2014,тыс.единиц,выше 10 Мбит/сек,Карагандинская,55.4
2014,тыс.единиц,выше 10 Мбит/сек,Костанайская,24.1
2014,тыс.единиц,выше 10 Мбит/сек,Кызылординская,9.4
2014,тыс.единиц,выше 10 Мбит/сек,Мангистауская,21.0
2014,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,17.6
2014,тыс.единиц,выше 10 Мбит/сек,Павлодарская,29.3
2014,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,9.6
2014,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,37.6
2014,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,44.6
2014,тыс.единиц,выше 10 Мбит/сек,г_Алматы,509.5
2015,тыс.единиц,,,2301.0
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,271.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,14.0
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,11.5
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,9.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,7.0
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,8.2
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,10.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,15.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,20.0
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,9.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,3.3
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Южно-Казахстанская,13.7
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,11.6
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,17.9
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Восточно-Казахстанская,9.2
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Нур-Султан,53.2
2015,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Алматы,56.8
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,,767.1
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Акмолинская,54.6
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Актюбинская,40.4
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,79.6
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,42.5
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,18.9
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,26.9
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,71.5
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,45.7
2015,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,19.3
