Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,365.5
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,453.9
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,470.7
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,492.8
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,496.1
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,495.2
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,506.8
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,501.6
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Северо-Казахстанская,,507.4
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Туркестанская,,820.6
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1272.7
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1419.3
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1459.9
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1606.7
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1654.2
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1681.0
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1705.2
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1709.2
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Восточно-Казахстанская,,1714.9
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,1408.9
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,1647.9
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,1750.1
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,1961.0
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,2180.3
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,2279.0
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,2441.1
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,г_Нур-Султан,,2558.0
