Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,M_T,_L_KZ_090102_1J,KZALM,,116.6
2011,M_T,_L_KZ_090102_1J,KZALM,,142.7
2012,M_T,_L_KZ_090102_1J,KZALM,,158.1
2013,M_T,_L_KZ_090102_1J,KZALM,,159.0
2014,M_T,_L_KZ_090102_1J,KZALM,,159.9
2015,M_T,_L_KZ_090102_1J,KZALM,,167.2
2016,M_T,_L_KZ_090102_1J,KZALM,,179.0
2017,M_T,_L_KZ_090102_1J,KZALM,,181.1
2018,M_T,_L_KZ_090102_1J,KZALM,,184.5
2010,M_T,_L_KZ_090102_1J,KZATY,,52.1
2011,M_T,_L_KZ_090102_1J,KZATY,,71.5
2012,M_T,_L_KZ_090102_1J,KZATY,,72.4
2013,M_T,_L_KZ_090102_1J,KZATY,,82.6
2014,M_T,_L_KZ_090102_1J,KZATY,,82.1
2015,M_T,_L_KZ_090102_1J,KZATY,,75.7
2016,M_T,_L_KZ_090102_1J,KZATY,,75.0
2017,M_T,_L_KZ_090102_1J,KZATY,,75.9
2018,M_T,_L_KZ_090102_1J,KZATY,,59.9
2010,M_T,_L_KZ_090102_1J,KZZAP,,30.0
2011,M_T,_L_KZ_090102_1J,KZZAP,,33.8
2012,M_T,_L_KZ_090102_1J,KZZAP,,35.7
2013,M_T,_L_KZ_090102_1J,KZZAP,,38.8
2014,M_T,_L_KZ_090102_1J,KZZAP,,39.9
2015,M_T,_L_KZ_090102_1J,KZZAP,,39.5
2016,M_T,_L_KZ_090102_1J,KZZAP,,39.4
2017,M_T,_L_KZ_090102_1J,KZZAP,,39.3
2018,M_T,_L_KZ_090102_1J,KZZAP,,39.5
2010,M_T,_L_KZ_090102_1J,KZZHA,,56.0
2011,M_T,_L_KZ_090102_1J,KZZHA,,70.5
2012,M_T,_L_KZ_090102_1J,KZZHA,,80.4
2013,M_T,_L_KZ_090102_1J,KZZHA,,88.4
2014,M_T,_L_KZ_090102_1J,KZZHA,,88.9
2015,M_T,_L_KZ_090102_1J,KZZHA,,91.3
2016,M_T,_L_KZ_090102_1J,KZZHA,,91.3
2017,M_T,_L_KZ_090102_1J,KZZHA,,100.1
2018,M_T,_L_KZ_090102_1J,KZZHA,,103.5
2010,M_T,_L_KZ_090102_1J,KZKAR,,444.0
2011,M_T,_L_KZ_090102_1J,KZKAR,,551.1
2012,M_T,_L_KZ_090102_1J,KZKAR,,619.7
2013,M_T,_L_KZ_090102_1J,KZKAR,,676.7
2014,M_T,_L_KZ_090102_1J,KZKAR,,719.2
2015,M_T,_L_KZ_090102_1J,KZKAR,,709.9
