Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2015,PT,KZSEV,F,,,1.9
2015,PT,KZVOS,F,,,4.3
2015,PT,KZNS,F,,,0.4
2015,PT,KZALA,F,,,0.8
2015,PT,,,U,,2.5
2015,PT,KZAKM,,U,,1.6
2015,PT,KZAKT,,U,,2.4
2015,PT,KZALM,,U,,4.0
2015,PT,KZATY,,U,,0.3
2015,PT,KZZAP,,U,,2.5
2015,PT,KZZHA,,U,,12.1
2015,PT,KZKAR,,U,,2.6
2015,PT,KZKUS,,U,,5.0
2015,PT,KZKZY,,U,,5.0
2015,PT,KZMAN,,U,,3.3
2015,PT,KZONT,,U,,1.6
2015,PT,KZPAV,,U,,0.4
2015,PT,KZSEV,,U,,2.6
2015,PT,KZVOS,,U,,2.7
2015,PT,KZNS,,U,,0.6
2015,PT,KZALA,,U,,1.0
2015,PT,,,R,,5.6
2015,PT,KZAKM,,R,,6.9
2015,PT,KZAKT,,R,,4.0
2015,PT,KZALM,,R,,6.2
2015,PT,KZATY,,R,,2.2
2015,PT,KZZAP,,R,,5.5
2015,PT,KZZHA,,R,,12.6
2015,PT,KZKAR,,R,,3.4
2015,PT,KZKUS,,R,,1.8
2015,PT,KZKZY,,R,,17.6
2015,PT,KZMAN,,R,,0.7
2015,PT,KZONT,,R,,2.0
2015,PT,KZPAV,,R,,4.3
2015,PT,KZSEV,,R,,2.1
2015,PT,KZVOS,,R,,8.7
2015,PT,,,,Y15,43.9
2015,PT,,,,Y16T24,5.0
2015,PT,,,,M25T28,3.6
2015,PT,,,,M29T34,3.7
2015,PT,,,,Y35T44,3.6
2015,PT,,,,Y45T54,3.9
2015,PT,,,,Y55T64,3.8
2015,PT,,,,Y_GE65,6.3
2015,PT,KZAKM,,,Y15,38.6
2015,PT,KZAKM,,,Y16T24,5.6
2015,PT,KZAKM,,,M25T28,3.7
2015,PT,KZAKM,,,M29T34,4.5
2015,PT,KZAKM,,,Y35T44,4.1
2015,PT,KZAKM,,,Y45T54,5.3
2015,PT,KZAKM,,,Y55T64,4.1
2015,PT,KZAKM,,,Y_GE65,2.0
2015,PT,KZAKT,,,Y16T24,4.0
2015,PT,KZAKT,,,M25T28,2.7
2015,PT,KZAKT,,,M29T34,2.7
2015,PT,KZAKT,,,Y35T44,3.5
2015,PT,KZAKT,,,Y45T54,3.2
2015,PT,KZAKT,,,Y55T64,2.3
2015,PT,KZALM,,,Y16T24,5.2
2015,PT,KZALM,,,M25T28,4.6
2015,PT,KZALM,,,M29T34,6.1
2015,PT,KZALM,,,Y35T44,5.9
2015,PT,KZALM,,,Y45T54,7.2
2015,PT,KZALM,,,Y55T64,6.2
2015,PT,KZALM,,,Y_GE65,5.2
2015,PT,KZATY,,,Y16T24,1.2
2015,PT,KZATY,,,M25T28,1.2
2015,PT,KZATY,,,M29T34,1.2
2015,PT,KZATY,,,Y35T44,0.8
2015,PT,KZATY,,,Y45T54,1.6
2015,PT,KZATY,,,Y55T64,1.4
2015,PT,KZZAP,,,Y16T24,6.5
2015,PT,KZZAP,,,M25T28,5.5
2015,PT,KZZAP,,,M29T34,4.2
2015,PT,KZZAP,,,Y35T44,2.9
2015,PT,KZZAP,,,Y45T54,3.7
2015,PT,KZZAP,,,Y55T64,4.0
2015,PT,KZZHA,,,Y15,58.7
2015,PT,KZZHA,,,Y16T24,20.2
2015,PT,KZZHA,,,M25T28,12.9
2015,PT,KZZHA,,,M29T34,11.2
2015,PT,KZZHA,,,Y35T44,10.2
2015,PT,KZZHA,,,Y45T54,9.8
