Year,UNIT_MEASURE,SEX,REF_AREA,URBANISATION,Value
2012,PER_1000_LIVE_BIRTHS,_T,KZKZY,U,12.38919149845135
2012,PER_1000_LIVE_BIRTHS,_T,KZMAN,U,7.942417473318442
2012,PER_1000_LIVE_BIRTHS,_T,KZONT,U,11.06305628682462
2012,PER_1000_LIVE_BIRTHS,_T,KZPAV,U,6.693896074427048
2012,PER_1000_LIVE_BIRTHS,_T,KZSEV,U,7.660878447395301
2012,PER_1000_LIVE_BIRTHS,_T,KZVOS,U,13.537906137184116
2012,PER_1000_LIVE_BIRTHS,_T,KZNS,U,6.987617530699276
2012,PER_1000_LIVE_BIRTHS,_T,KZALA,U,9.76227736791117
2012,PER_1000_LIVE_BIRTHS,_T,,R,8.44556950452278
2012,PER_1000_LIVE_BIRTHS,_T,KZAKM,R,5.250154416306362
2012,PER_1000_LIVE_BIRTHS,_T,KZAKT,R,4.934464148033924
2012,PER_1000_LIVE_BIRTHS,_T,KZALM,R,7.163771782698922
2012,PER_1000_LIVE_BIRTHS,_T,KZATY,R,10.787055533359968
2012,PER_1000_LIVE_BIRTHS,_T,KZZAP,R,8.441091954022989
2012,PER_1000_LIVE_BIRTHS,_T,KZZHA,R,8.550053437833986
2012,PER_1000_LIVE_BIRTHS,_T,KZKAR,R,5.499715531955244
2012,PER_1000_LIVE_BIRTHS,_T,KZKUS,R,8.499065102838687
2012,PER_1000_LIVE_BIRTHS,_T,KZKZY,R,13.53965183752418
2012,PER_1000_LIVE_BIRTHS,_T,KZMAN,R,10.11008762075938
2012,PER_1000_LIVE_BIRTHS,_T,KZONT,R,8.590815712477433
2012,PER_1000_LIVE_BIRTHS,_T,KZPAV,R,6.166748889985199
2012,PER_1000_LIVE_BIRTHS,_T,KZSEV,R,6.659729448491155
2012,PER_1000_LIVE_BIRTHS,_T,KZVOS,R,11.245963701146866
2012,PER_1000_LIVE_BIRTHS,M,,,10.101061736094426
2012,PER_1000_LIVE_BIRTHS,M,KZAKM,,6.472491909385114
2012,PER_1000_LIVE_BIRTHS,M,KZAKT,,9.094754653130288
2012,PER_1000_LIVE_BIRTHS,M,KZALM,,9.143528227497692
2012,PER_1000_LIVE_BIRTHS,M,KZATY,,11.541839166980305
2012,PER_1000_LIVE_BIRTHS,M,KZZAP,,9.16860916860917
2012,PER_1000_LIVE_BIRTHS,M,KZZHA,,10.084265782566652
2012,PER_1000_LIVE_BIRTHS,M,KZKAR,,7.5307173999207295
2012,PER_1000_LIVE_BIRTHS,M,KZKUS,,11.897590361445785
2012,PER_1000_LIVE_BIRTHS,M,KZKZY,,14.04041362299592
2012,PER_1000_LIVE_BIRTHS,M,KZMAN,,9.469915694652965
2012,PER_1000_LIVE_BIRTHS,M,KZONT,,10.638812321678998
2012,PER_1000_LIVE_BIRTHS,M,KZPAV,,8.15833207433147
2012,PER_1000_LIVE_BIRTHS,M,KZSEV,,8.292245629762439
2012,PER_1000_LIVE_BIRTHS,M,KZVOS,,13.94254997480262
2012,PER_1000_LIVE_BIRTHS,M,KZNS,,8.117045796171961
2012,PER_1000_LIVE_BIRTHS,M,KZALA,,10.747259088286208
