Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2013,PT,KZALM,,U,,12.9
2013,PT,KZATY,,U,,3.0
2013,PT,KZZAP,,U,,11.0
2013,PT,KZZHA,,U,,31.6
2013,PT,KZKAR,,U,,18.9
2013,PT,KZKUS,,U,,18.6
2013,PT,KZKZY,,U,,12.2
2013,PT,KZMAN,,U,,6.6
2013,PT,KZONT,,U,,18.7
2013,PT,KZPAV,,U,,17.7
2013,PT,KZSEV,,U,,24.9
2013,PT,KZVOS,,U,,15.2
2013,PT,KZNS,,U,,4.9
2013,PT,KZALA,,U,,10.5
2013,PT,,,R,,36.1
2013,PT,KZAKM,,R,,28.6
2013,PT,KZAKT,,R,,35.6
2013,PT,KZALM,,R,,24.1
2013,PT,KZATY,,R,,11.8
2013,PT,KZZAP,,R,,43.7
2013,PT,KZZHA,,R,,50.8
2013,PT,KZKAR,,R,,22.4
2013,PT,KZKUS,,R,,54.8
2013,PT,KZKZY,,R,,17.0
2013,PT,KZMAN,,R,,5.1
2013,PT,KZONT,,R,,41.0
2013,PT,KZPAV,,R,,51.5
2013,PT,KZSEV,,R,,48.2
2013,PT,KZVOS,,R,,49.7
2013,PT,,,,Y15,100.0
2013,PT,,,,Y16T24,30.2
2013,PT,,,,M25T28,23.4
2013,PT,,,,M29T34,23.9
2013,PT,,,,Y35T44,22.0
2013,PT,,,,Y45T54,21.3
2013,PT,,,,Y55T64,28.1
2013,PT,,,,Y_GE65,71.2
2013,PT,KZAKM,,,Y16T24,22.0
2013,PT,KZAKM,,,M25T28,19.2
2013,PT,KZAKM,,,M29T34,16.8
2013,PT,KZAKM,,,Y35T44,21.4
2013,PT,KZAKM,,,Y45T54,24.1
2013,PT,KZAKM,,,Y55T64,21.4
2013,PT,KZAKM,,,Y_GE65,33.5
2013,PT,KZAKT,,,Y16T24,29.5
2013,PT,KZAKT,,,M25T28,22.9
2013,PT,KZAKT,,,M29T34,25.9
2013,PT,KZAKT,,,Y35T44,15.6
2013,PT,KZAKT,,,Y45T54,16.3
2013,PT,KZAKT,,,Y55T64,27.9
2013,PT,KZAKT,,,Y_GE65,22.0
2013,PT,KZALM,,,Y16T24,25.0
2013,PT,KZALM,,,M25T28,25.0
2013,PT,KZALM,,,M29T34,23.0
2013,PT,KZALM,,,Y35T44,21.5
2013,PT,KZALM,,,Y45T54,18.3
2013,PT,KZALM,,,Y55T64,15.6
2013,PT,KZALM,,,Y_GE65,16.2
2013,PT,KZATY,,,Y16T24,8.4
2013,PT,KZATY,,,M25T28,7.1
2013,PT,KZATY,,,M29T34,6.8
2013,PT,KZATY,,,Y35T44,9.1
2013,PT,KZATY,,,Y45T54,6.9
2013,PT,KZATY,,,Y55T64,5.4
2013,PT,KZZAP,,,Y16T24,28.2
2013,PT,KZZAP,,,M25T28,27.4
2013,PT,KZZAP,,,M29T34,28.4
2013,PT,KZZAP,,,Y35T44,28.2
2013,PT,KZZAP,,,Y45T54,30.1
2013,PT,KZZAP,,,Y55T64,30.8
2013,PT,KZZAP,,,Y_GE65,100.0
2013,PT,KZZHA,,,Y15,100.0
2013,PT,KZZHA,,,Y16T24,59.4
2013,PT,KZZHA,,,M25T28,40.3
2013,PT,KZZHA,,,M29T34,39.0
2013,PT,KZZHA,,,Y35T44,37.4
2013,PT,KZZHA,,,Y45T54,38.6
2013,PT,KZZHA,,,Y55T64,56.8
2013,PT,KZZHA,,,Y_GE65,98.8
2013,PT,KZKAR,,,Y16T24,29.4
2013,PT,KZKAR,,,M25T28,17.5
2013,PT,KZKAR,,,M29T34,18.1
2013,PT,KZKAR,,,Y35T44,16.8
2013,PT,KZKAR,,,Y45T54,16.6
2013,PT,KZKAR,,,Y55T64,22.0
2013,PT,KZKAR,,,Y_GE65,66.3
2013,PT,KZKUS,,,Y15,100.0
2013,PT,KZKUS,,,Y16T24,49.8
2013,PT,KZKUS,,,M25T28,36.7
2013,PT,KZKUS,,,M29T34,34.3
2013,PT,KZKUS,,,Y35T44,30.5
2013,PT,KZKUS,,,Y45T54,30.9
2013,PT,KZKUS,,,Y55T64,49.0
2013,PT,KZKUS,,,Y_GE65,95.7
2013,PT,KZKZY,,,Y16T24,24.1
2013,PT,KZKZY,,,M25T28,11.7
2013,PT,KZKZY,,,M29T34,14.9
2013,PT,KZKZY,,,Y35T44,10.8
2013,PT,KZKZY,,,Y45T54,15.1
2013,PT,KZKZY,,,Y55T64,12.5
2013,PT,KZKZY,,,Y_GE65,57.4
2013,PT,KZMAN,,,Y16T24,8.5
2013,PT,KZMAN,,,M25T28,5.7
2013,PT,KZMAN,,,M29T34,8.5
2013,PT,KZMAN,,,Y35T44,4.6
2013,PT,KZMAN,,,Y45T54,5.0
2013,PT,KZMAN,,,Y55T64,2.5
2013,PT,KZONT,,,Y15,100.0
2013,PT,KZONT,,,Y16T24,40.8
2013,PT,KZONT,,,M25T28,34.8
2013,PT,KZONT,,,M29T34,31.5
2013,PT,KZONT,,,Y35T44,32.5
2013,PT,KZONT,,,Y45T54,28.0
2013,PT,KZONT,,,Y55T64,27.0
2013,PT,KZPAV,,,Y15,100.0
2013,PT,KZPAV,,,Y16T24,37.4
2013,PT,KZPAV,,,M25T28,26.9
2013,PT,KZPAV,,,M29T34,31.4
2013,PT,KZPAV,,,Y35T44,23.9
2013,PT,KZPAV,,,Y45T54,24.8
2013,PT,KZPAV,,,Y55T64,34.0
2013,PT,KZPAV,,,Y_GE65,99.1
2013,PT,KZSEV,,,Y15,100.0
2013,PT,KZSEV,,,Y16T24,49.2
2013,PT,KZSEV,,,M25T28,33.0
2013,PT,KZSEV,,,M29T34,37.4
2013,PT,KZSEV,,,Y35T44,33.2
2013,PT,KZSEV,,,Y45T54,27.6
2013,PT,KZSEV,,,Y55T64,52.0
2013,PT,KZSEV,,,Y_GE65,98.0
2013,PT,KZVOS,,,Y16T24,38.3
2013,PT,KZVOS,,,M25T28,26.7
2013,PT,KZVOS,,,M29T34,30.7
2013,PT,KZVOS,,,Y35T44,31.1
2013,PT,KZVOS,,,Y45T54,25.7
2013,PT,KZVOS,,,Y55T64,28.4
2013,PT,KZVOS,,,Y_GE65,14.6
2013,PT,KZNS,,,Y16T24,2.7
2013,PT,KZNS,,,M25T28,6.3
2013,PT,KZNS,,,M29T34,6.0
2013,PT,KZNS,,,Y35T44,4.5
2013,PT,KZNS,,,Y45T54,4.0
2013,PT,KZNS,,,Y55T64,5.3
2013,PT,KZNS,,,Y_GE65,19.6
2013,PT,KZALA,,,Y16T24,13.1
2013,PT,KZALA,,,M25T28,12.9
2013,PT,KZALA,,,M29T34,10.8
2013,PT,KZALA,,,Y35T44,9.8
2013,PT,KZALA,,,Y45T54,8.0
2013,PT,KZALA,,,Y55T64,8.2
2013,PT,KZALA,,,Y_GE65,33.7
2014,PT,,,,,25.0
2014,PT,KZAKM,,,,24.2
2014,PT,KZAKT,,,,19.6
2014,PT,KZALM,,,,25.5
2014,PT,KZATY,,,,7.3
2014,PT,KZZAP,,,,30.6
2014,PT,KZZHA,,,,39.8
2014,PT,KZKAR,,,,23.7
2014,PT,KZKUS,,,,35.1
2014,PT,KZKZY,,,,19.3
2014,PT,KZMAN,,,,7.3
2014,PT,KZONT,,,,22.4
2014,PT,KZPAV,,,,31.1
2014,PT,KZSEV,,,,35.8
2014,PT,KZVOS,,,,32.3
2014,PT,KZNS,,,,22.9
2014,PT,KZALA,,,,14.8
2014,PT,,M,,,25.0
2014,PT,KZAKM,M,,,23.3
2014,PT,KZAKT,M,,,19.1
2014,PT,KZALM,M,,,27.9
2014,PT,KZATY,M,,,8.3
2014,PT,KZZAP,M,,,32.4
2014,PT,KZZHA,M,,,39.6
2014,PT,KZKAR,M,,,21.9
2014,PT,KZKUS,M,,,33.0
2014,PT,KZKZY,M,,,19.2
2014,PT,KZMAN,M,,,5.6
2014,PT,KZONT,M,,,24.5
2014,PT,KZPAV,M,,,28.9
2014,PT,KZSEV,M,,,34.2
2014,PT,KZVOS,M,,,30.9
2014,PT,KZNS,M,,,22.9
2014,PT,KZALA,M,,,15.4
2014,PT,,F,,,25.0
2014,PT,KZAKM,F,,,25.1
2014,PT,KZAKT,F,,,20.3
2014,PT,KZALM,F,,,23.0
2014,PT,KZATY,F,,,6.2
2014,PT,KZZAP,F,,,28.6
2014,PT,KZZHA,F,,,40.0
2014,PT,KZKAR,F,,,25.7
2014,PT,KZKUS,F,,,37.3
2014,PT,KZKZY,F,,,19.5
2014,PT,KZMAN,F,,,9.6
2014,PT,KZONT,F,,,20.1
2014,PT,KZPAV,F,,,33.2
2014,PT,KZSEV,F,,,37.5
2014,PT,KZVOS,F,,,33.7
2014,PT,KZNS,F,,,22.8
2014,PT,KZALA,F,,,14.2
2014,PT,,,U,,19.6
2014,PT,KZAKM,,U,,17.7
2014,PT,KZAKT,,U,,13.9
2014,PT,KZALM,,U,,23.1
2014,PT,KZATY,,U,,2.7
2014,PT,KZZAP,,U,,13.4
2014,PT,KZZHA,,U,,39.6
2014,PT,KZKAR,,U,,21.0
2014,PT,KZKUS,,U,,23.7
2014,PT,KZKZY,,U,,13.9
2014,PT,KZMAN,,U,,9.3
2014,PT,KZONT,,U,,21.7
2014,PT,KZPAV,,U,,18.0
2014,PT,KZSEV,,U,,29.0
2014,PT,KZVOS,,U,,21.4
2014,PT,KZNS,,U,,22.9
2014,PT,KZALA,,U,,14.8
2014,PT,,,R,,31.6
2014,PT,KZAKM,,R,,30.0
2014,PT,KZAKT,,R,,28.9
2014,PT,KZALM,,R,,26.3
2014,PT,KZATY,,R,,11.8
2014,PT,KZZAP,,R,,45.2
2014,PT,KZZHA,,R,,40.0
2014,PT,KZKAR,,R,,33.6
2014,PT,KZKUS,,R,,47.2
2014,PT,KZKZY,,R,,23.0
2014,PT,KZMAN,,R,,4.5
2014,PT,KZONT,,R,,22.9
2014,PT,KZPAV,,R,,57.1
2014,PT,KZSEV,,R,,40.5
2014,PT,KZVOS,,R,,48.1
2014,PT,,,,Y15,65.8
2014,PT,,,,Y16T24,28.5
2014,PT,,,,M25T28,23.2
2014,PT,,,,M29T34,23.0
2014,PT,,,,Y35T44,23.1
2014,PT,,,,Y45T54,23.9
2014,PT,,,,Y55T64,30.1
2014,PT,,,,Y_GE65,77.3
2014,PT,KZAKM,,,Y15,89.4
2014,PT,KZAKM,,,Y16T24,28.7
2014,PT,KZAKM,,,M25T28,23.1
2014,PT,KZAKM,,,M29T34,21.0
2014,PT,KZAKM,,,Y35T44,22.8
2014,PT,KZAKM,,,Y45T54,23.3
2014,PT,KZAKM,,,Y55T64,24.7
2014,PT,KZAKM,,,Y_GE65,80.0
2014,PT,KZAKT,,,Y16T24,23.9
2014,PT,KZAKT,,,M25T28,20.4
2014,PT,KZAKT,,,M29T34,18.0
2014,PT,KZAKT,,,Y35T44,18.2
2014,PT,KZAKT,,,Y45T54,19.5
2014,PT,KZAKT,,,Y55T64,20.2
2014,PT,KZAKT,,,Y_GE65,41.4
2014,PT,KZALM,,,Y15,7.7
2014,PT,KZALM,,,Y16T24,23.9
2014,PT,KZALM,,,M25T28,23.1
2014,PT,KZALM,,,M29T34,24.0
2014,PT,KZALM,,,Y35T44,27.2
2014,PT,KZALM,,,Y45T54,26.4
2014,PT,KZALM,,,Y55T64,27.5
2014,PT,KZALM,,,Y_GE65,58.1
2014,PT,KZATY,,,Y16T24,11.9
2014,PT,KZATY,,,M25T28,6.0
2014,PT,KZATY,,,M29T34,5.5
2014,PT,KZATY,,,Y35T44,6.0
2014,PT,KZATY,,,Y45T54,8.3
2014,PT,KZATY,,,Y55T64,7.4
2014,PT,KZATY,,,Y_GE65,17.1
2014,PT,KZZAP,,,Y15,100.0
2014,PT,KZZAP,,,Y16T24,29.1
2014,PT,KZZAP,,,M25T28,26.1
2014,PT,KZZAP,,,M29T34,29.6
2014,PT,KZZAP,,,Y35T44,30.1
2014,PT,KZZAP,,,Y45T54,32.3
2014,PT,KZZAP,,,Y55T64,35.5
2014,PT,KZZAP,,,Y_GE65,71.8
2014,PT,KZZHA,,,Y15,87.4
2014,PT,KZZHA,,,Y16T24,54.2
2014,PT,KZZHA,,,M25T28,40.9
2014,PT,KZZHA,,,M29T34,33.5
2014,PT,KZZHA,,,Y35T44,35.1
2014,PT,KZZHA,,,Y45T54,33.2
2014,PT,KZZHA,,,Y55T64,49.7
2014,PT,KZZHA,,,Y_GE65,78.7
2014,PT,KZKAR,,,Y15,86.8
2014,PT,KZKAR,,,Y16T24,33.5
2014,PT,KZKAR,,,M25T28,21.8
