Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,51.5
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,77.7
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,50.0
2017,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,109.5
2017,TH_UNITS,выше 10 Мбит/сек,KZAKM,26.6
2017,TH_UNITS,выше 10 Мбит/сек,KZAKT,28.4
2017,TH_UNITS,выше 10 Мбит/сек,KZALM,32.1
2017,TH_UNITS,выше 10 Мбит/сек,KZATY,22.7
2017,TH_UNITS,выше 10 Мбит/сек,KZZAP,16.0
2017,TH_UNITS,выше 10 Мбит/сек,KZZHA,15.5
2017,TH_UNITS,выше 10 Мбит/сек,KZKAR,75.0
2017,TH_UNITS,выше 10 Мбит/сек,KZKUS,36.6
2017,TH_UNITS,выше 10 Мбит/сек,KZKZY,11.8
2017,TH_UNITS,выше 10 Мбит/сек,KZMAN,31.1
2017,TH_UNITS,выше 10 Мбит/сек,KZONT,23.6
2017,TH_UNITS,выше 10 Мбит/сек,KZPAV,54.6
2017,TH_UNITS,выше 10 Мбит/сек,KZSEV,29.5
2017,TH_UNITS,выше 10 Мбит/сек,KZVOS,61.4
2017,TH_UNITS,выше 10 Мбит/сек,KZNS,98.7
2017,TH_UNITS,выше 10 Мбит/сек,KZALA,860.7
2018,TH_UNITS,,,2461.3
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,67.4
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,3.8
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,2.4
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,1.8
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,2.7
2018,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,1.9
