Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2012,PT,KZZAP,,Y45T54,26.8
2012,PT,KZZAP,,Y55T64,31.6
2012,PT,KZZHA,,Y16T24,36.6
2012,PT,KZZHA,,M25T28,54.2
2012,PT,KZZHA,,M29T34,24.9
2012,PT,KZZHA,,Y35T44,28.7
2012,PT,KZZHA,,Y45T54,53.3
2012,PT,KZZHA,,Y55T64,21.5
2012,PT,KZZHA,,Y_GE65,100.0
2012,PT,KZKAR,,Y16T24,82.0
2012,PT,KZKAR,,M25T28,33.0
2012,PT,KZKAR,,M29T34,45.5
2012,PT,KZKAR,,Y35T44,47.5
2012,PT,KZKAR,,Y45T54,42.1
2012,PT,KZKAR,,Y55T64,35.3
2012,PT,KZKAR,,Y_GE65,54.4
2012,PT,KZKUS,,Y16T24,47.3
2012,PT,KZKUS,,M25T28,54.0
2012,PT,KZKUS,,M29T34,55.9
2012,PT,KZKUS,,Y35T44,43.3
2012,PT,KZKUS,,Y45T54,39.6
2012,PT,KZKUS,,Y55T64,15.1
2012,PT,KZKZY,,Y16T24,0.0
2012,PT,KZKZY,,M25T28,21.3
2012,PT,KZKZY,,M29T34,46.9
2012,PT,KZKZY,,Y35T44,33.3
2012,PT,KZKZY,,Y45T54,28.2
2012,PT,KZKZY,,Y55T64,37.0
2012,PT,KZKZY,,Y_GE65,0.0
2012,PT,KZMAN,,Y16T24,100.0
2012,PT,KZMAN,,M25T28,52.6
2012,PT,KZMAN,,M29T34,36.4
2012,PT,KZMAN,,Y35T44,38.0
2012,PT,KZMAN,,Y45T54,56.6
2012,PT,KZMAN,,Y55T64,33.0
2012,PT,KZMAN,,Y_GE65,0.0
2012,PT,KZONT,,Y16T24,68.7
2012,PT,KZONT,,M25T28,43.3
2012,PT,KZONT,,M29T34,56.3
2012,PT,KZONT,,Y35T44,17.9
2012,PT,KZONT,,Y45T54,23.4
2012,PT,KZONT,,Y55T64,31.1
2012,PT,KZPAV,,Y16T24,27.6
2012,PT,KZPAV,,M25T28,29.1
2012,PT,KZPAV,,M29T34,29.6
2012,PT,KZPAV,,Y35T44,23.5
2012,PT,KZPAV,,Y45T54,38.6
2012,PT,KZPAV,,Y55T64,35.9
2012,PT,KZSEV,,Y16T24,76.4
2012,PT,KZSEV,,M25T28,18.3
2012,PT,KZSEV,,M29T34,37.3
2012,PT,KZSEV,,Y35T44,33.2
2012,PT,KZSEV,,Y45T54,46.5
2012,PT,KZSEV,,Y55T64,62.8
2012,PT,KZVOS,,Y16T24,35.9
2012,PT,KZVOS,,M25T28,38.0
2012,PT,KZVOS,,M29T34,17.6
2012,PT,KZVOS,,Y35T44,31.9
2012,PT,KZVOS,,Y45T54,50.4
2012,PT,KZVOS,,Y55T64,43.0
2012,PT,KZNS,,Y16T24,68.5
2012,PT,KZNS,,M25T28,38.7
2012,PT,KZNS,,M29T34,40.0
2012,PT,KZNS,,Y35T44,48.8
2012,PT,KZNS,,Y45T54,46.0
2012,PT,KZNS,,Y55T64,43.8
2012,PT,KZNS,,Y_GE65,0.0
2012,PT,KZALA,,Y16T24,75.3
2012,PT,KZALA,,M25T28,52.9
2012,PT,KZALA,,M29T34,36.9
2012,PT,KZALA,,Y35T44,51.0
2012,PT,KZALA,,Y45T54,39.9
2012,PT,KZALA,,Y55T64,18.4
2013,PT,,,,38.3
2013,PT,KZAKM,,,44.8
2013,PT,KZAKT,,,27.2
2013,PT,KZALM,,,45.6
2013,PT,KZATY,,,28.9
2013,PT,KZZAP,,,23.5
2013,PT,KZZHA,,,27.0
2013,PT,KZKAR,,,38.6
2013,PT,KZKUS,,,34.6
2013,PT,KZKZY,,,30.9
2013,PT,KZMAN,,,30.0
2013,PT,KZONT,,,32.5
2013,PT,KZPAV,,,36.3
2013,PT,KZSEV,,,27.5
2013,PT,KZVOS,,,35.5
2013,PT,KZNS,,,48.0
2013,PT,KZALA,,,39.5
2013,PT,,U,,38.9
2013,PT,KZAKM,U,,50.5
2013,PT,KZAKT,U,,23.8
2013,PT,KZALM,U,,46.3
2013,PT,KZATY,U,,31.9
2013,PT,KZZAP,U,,26.0
2013,PT,KZZHA,U,,29.9
2013,PT,KZKAR,U,,39.4
2013,PT,KZKUS,U,,39.1
2013,PT,KZKZY,U,,31.7
2013,PT,KZMAN,U,,28.0
2013,PT,KZONT,U,,29.4
2013,PT,KZPAV,U,,33.9
2013,PT,KZSEV,U,,29.4
2013,PT,KZVOS,U,,40.1
2013,PT,KZNS,U,,48.0
2013,PT,KZALA,U,,39.5
2013,PT,,R,,37.0
2013,PT,KZAKM,R,,31.2
2013,PT,KZAKT,R,,54.4
2013,PT,KZALM,R,,45.3
2013,PT,KZATY,R,,18.0
2013,PT,KZZAP,R,,16.9
2013,PT,KZZHA,R,,10.1
2013,PT,KZKAR,R,,30.7
2013,PT,KZKUS,R,,20.5
2013,PT,KZKZY,R,,29.4
2013,PT,KZMAN,R,,35.8
