Year,UNIT_MEASURE,REF_AREA,SEX,Value
2017,PT,KZAKM,M,12.387950556708812
2017,PT,KZAKT,M,6.969950902781691
2017,PT,KZALM,M,20.5952052561627
2017,PT,KZATY,M,4.4485391597322845
2017,PT,KZZAP,M,15.773675208927832
2017,PT,KZZHA,M,6.712319965573249
2017,PT,KZKAR,M,10.019283139875276
2017,PT,KZKUS,M,11.954689740738951
2017,PT,KZKZY,M,6.268431976906215
2017,PT,KZMAN,M,1.6799190770688484
2017,PT,KZYUZ,M,11.618792337005695
2017,PT,KZPAV,M,22.34060063165273
2017,PT,KZSEV,M,14.87900216316049
2017,PT,KZVOS,M,15.041073072554244
2017,PT,,F,2.6269248163889456
2017,PT,KZAKM,F,3.2923003508275817
2017,PT,KZAKT,F,5.770211096262919
2017,PT,KZALM,F,1.8686058505893537
2017,PT,KZATY,F,1.7788225301059046
2017,PT,KZZAP,F,5.312727190346637
2017,PT,KZZHA,F,1.5284358238126348
2017,PT,KZKAR,F,4.077720913926477
2017,PT,KZKUS,F,12.250728814544727
2017,PT,KZKZY,F,0.1900560260902442
2017,PT,KZMAN,F,0.0160437166971335
2017,PT,KZYUZ,F,1.0315058376864912
2017,PT,KZPAV,F,0.1643770895740303
2017,PT,KZSEV,F,2.6601191328187794
2017,PT,KZVOS,F,4.877011310126623
2018,PT,,,5.9456315973679175
2018,PT,KZAKM,,7.408493095439031
2018,PT,KZAKT,,6.326929557332228
2018,PT,KZALM,,10.440690147442789
2018,PT,KZATY,,3.0634145846441108
2018,PT,KZZAP,,10.275536843573349
2018,PT,KZZHA,,4.050372721154694
2018,PT,KZKAR,,6.872051460358157
2018,PT,KZKUS,,11.704142702916377
2018,PT,KZKZY,,3.221077203370531
2018,PT,KZMAN,,0.8086458185240927
2018,PT,KZYUZ,,15.272952309919791
2018,PT,KZPAV,,13.846020306608626
2018,PT,KZSEV,,3.1449556451772978
2018,PT,KZVOS,,8.764037794674387
2018,PT,,M,9.70080297943824
2018,PT,KZAKM,M,12.429883541213416
2018,PT,KZAKT,M,6.990829238651386
2018,PT,KZALM,M,19.32187030536074
2018,PT,KZATY,M,4.476725305537294
2018,PT,KZZAP,M,14.86085866644467
2018,PT,KZZHA,M,7.021153782887359
2018,PT,KZKAR,M,10.097312961637336
2018,PT,KZKUS,M,11.31688341529166
2018,PT,KZKZY,M,6.333372476550123
2018,PT,KZMAN,M,1.6486642999219476
2018,PT,KZYUZ,M,30.117422359945824
2018,PT,KZPAV,M,29.356608733379268
2018,PT,KZSEV,M,5.174860342071808
2018,PT,KZVOS,M,13.191584021152751
2018,PT,,F,2.6117563333170843
2018,PT,KZAKM,F,2.880673778696223
2018,PT,KZAKT,F,5.739705736506525
2018,PT,KZALM,F,2.078971302017338
2018,PT,KZATY,F,1.756446284825564
2018,PT,KZZAP,F,6.189964024774691
2018,PT,KZZHA,F,1.3160701775634946
2018,PT,KZKAR,F,4.120433229490408
2018,PT,KZKUS,F,12.037603403088474
2018,PT,KZKZY,F,0.1886841687960544
2018,PT,KZMAN,F,0.0119399563475195
2018,PT,KZYUZ,F,2.685202629674067
2018,PT,KZPAV,F,0.3156884702466956
2018,PT,KZSEV,F,1.1010616684828844
2018,PT,KZVOS,F,4.927390061902988
