Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2013,TH_TNG,_L_KZ_070b01_1C,KZVOS,201222900.0
2014,TH_TNG,_L_KZ_070b01_1C,KZVOS,190765886.0
2015,TH_TNG,_L_KZ_070b01_1C,KZVOS,172029711.0
2016,TH_TNG,_L_KZ_070b01_1C,KZVOS,155341765.0
2017,TH_TNG,_L_KZ_070b01_1C,KZVOS,221341728.0
2018,TH_TNG,_L_KZ_070b01_1C,KZVOS,242988628.0
2010,TH_TNG,_L_KZ_070b01_1C,KZNS,179046694.0
2011,TH_TNG,_L_KZ_070b01_1C,KZNS,362927597.0
2012,TH_TNG,_L_KZ_070b01_1C,KZNS,401638616.0
2013,TH_TNG,_L_KZ_070b01_1C,KZNS,315620454.0
2014,TH_TNG,_L_KZ_070b01_1C,KZNS,347511021.0
2015,TH_TNG,_L_KZ_070b01_1C,KZNS,513581780.0
2016,TH_TNG,_L_KZ_070b01_1C,KZNS,623145859.0
2017,TH_TNG,_L_KZ_070b01_1C,KZNS,545796587.0
2018,TH_TNG,_L_KZ_070b01_1C,KZNS,620253444.0
2010,TH_TNG,_L_KZ_070b01_1C,KZALA,221486028.0
2011,TH_TNG,_L_KZ_070b01_1C,KZALA,243330560.0
2012,TH_TNG,_L_KZ_070b01_1C,KZALA,264489907.0
2013,TH_TNG,_L_KZ_070b01_1C,KZALA,320648924.0
2014,TH_TNG,_L_KZ_070b01_1C,KZALA,300281546.0
2015,TH_TNG,_L_KZ_070b01_1C,KZALA,291701767.0
2016,TH_TNG,_L_KZ_070b01_1C,KZALA,390688610.0
2017,TH_TNG,_L_KZ_070b01_1C,KZALA,444319345.0
2018,TH_TNG,_L_KZ_070b01_1C,KZALA,495140973.0
2018,TH_TNG,_L_KZ_070b01_1C,KZSHY,534924243.0
2010,TH_TNG,_L_KZ_070b01_1B,,1377448179.0
2011,TH_TNG,_L_KZ_070b01_1B,,1301596792.0
2012,TH_TNG,_L_KZ_070b01_1B,,1132230712.0
2013,TH_TNG,_L_KZ_070b01_1B,,1035890541.0
2014,TH_TNG,_L_KZ_070b01_1B,,1122439988.0
2015,TH_TNG,_L_KZ_070b01_1B,,1419240796.0
